,suplr_prvdr_last_name_org,hcpcs_cd,hcpcs_desc,tot_suplr_srvcs
11,"Regional Eyecare Center, Inc.",V2020,"Frames, purchases",20
12,"Regional Eyecare Center, Inc.",V2203,"Spherocylinder, bifocal, plano to plus or minus 4.00d sphere, .12 to 2.00d cylinder, per lens",41
8,Nizam,V2020,"Frames, purchases",17
9,Nizam,V2200,"Sphere, bifocal, plano to plus or minus 4.00d, per lens",35
10,Nizam,V2750,"Anti-reflective coating, per lens",33
6,Mercy Pharmacy Services Llc,A4253,"Blood glucose test or reagent strips for home blood glucose monitor, per 50 strips",23
7,Mercy Pharmacy Services Llc,J7507,"Tacrolimus, immediate release, oral, 1 mg",990
4,Evans Drugs Sunrise Beach Llc,J7620,"Albuterol, up to 2.5 mg and ipratropium bromide, up to 0.5 mg, fda-approved final product, non-compounded, administered through dme",1230
5,Evans Drugs Sunrise Beach Llc,Q0513,Pharmacy dispensing fee for inhalation drug(s); per 30 days,14
0,Top Medical Center Lp,L1832,"Knee orthosis, adjustable knee joints (unicentric or polycentric), positional orthosis, rigid support, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise",25
1,Top Medical Center Lp,L1833,"Knee orthosis, adjustable knee joints (unicentric or polycentric), positional orthosis, rigid support, prefabricated, off-the shelf",23
2,Top Medical Center Lp,L1851,"Knee orthosis (ko), single upright, thigh and calf, with adjustable flexion and extension joint (unicentric or polycentric), medial-lateral and rotation control, with or without varus/valgus adjustment, prefabricated, off-the-shelf",14
3,Top Medical Center Lp,L2397,"Addition to lower extremity orthosis, suspension sleeve",41
